"Kalendertag";"2018 0-64";"2020 0-64";"2018 65+";"2020 65+"
"13.10.";342;NaN;2091;NaN
"14.10.";346;NaN;2027;NaN
"15.10.";407;NaN;2067;NaN
"16.10.";382;NaN;2029;NaN
"17.10.";396;NaN;2047;NaN
"18.10.";358;NaN;2004;NaN
"19.10.";321;NaN;2062;NaN
"20.10.";331;NaN;1923;NaN
"21.10.";311;NaN;1914;NaN
"22.10.";338;NaN;1926;NaN
"23.10.";356;NaN;2054;NaN
"24.10.";376;NaN;2039;NaN
"25.10.";367;NaN;2030;NaN
"26.10.";391;NaN;2090;NaN
"27.10.";301;NaN;1917;NaN
"28.10.";369;NaN;2054;NaN
"29.10.";388;NaN;2009;NaN
"30.10.";373;NaN;2086;NaN
"31.10.";368;NaN;2040;NaN
"01.11.";345;NaN;2053;NaN
"02.11.";362;NaN;2090;NaN
"03.11.";364;NaN;2066;NaN
"04.11.";317;NaN;2034;NaN
"05.11.";380;NaN;2189;NaN
"06.11.";383;NaN;2161;NaN
"07.11.";382;NaN;2077;NaN
"08.11.";388;NaN;2205;NaN
"09.11.";373;NaN;2159;NaN
"10.11.";355;NaN;2068;NaN
"11.11.";356;NaN;2128;NaN
"12.11.";387;NaN;2070;NaN
"13.11.";369;NaN;2107;NaN
"14.11.";361;NaN;1990;NaN
"15.11.";366;NaN;1989;NaN
"16.11.";350;NaN;2137;NaN
"17.11.";347;NaN;1988;NaN
"18.11.";341;NaN;2040;NaN
"19.11.";386;NaN;2123;NaN
"20.11.";383;NaN;2192;NaN
"21.11.";363;NaN;2172;NaN
"22.11.";409;NaN;2302;NaN
"23.11.";366;NaN;2206;NaN
"24.11.";354;NaN;2173;NaN
"25.11.";360;NaN;1996;NaN
"26.11.";375;NaN;2159;NaN
"27.11.";363;NaN;2154;NaN
"28.11.";400;NaN;2118;NaN
"29.11.";369;NaN;2321;NaN
"30.11.";420;NaN;2221;NaN
"01.12.";373;NaN;2210;NaN
"02.12.";343;NaN;2265;NaN
"03.12.";400;NaN;2318;NaN
"04.12.";394;NaN;2200;NaN
"05.12.";360;NaN;2198;NaN
"06.12.";347;NaN;2258;NaN
"07.12.";409;NaN;2352;NaN
"08.12.";348;NaN;2163;NaN
"09.12.";333;NaN;2262;NaN
"10.12.";392;NaN;2130;NaN
"11.12.";372;NaN;2250;NaN
"12.12.";354;NaN;2257;NaN
"13.12.";357;NaN;2230;NaN
"14.12.";366;NaN;2233;NaN
"15.12.";357;NaN;2151;NaN
"16.12.";362;NaN;2132;NaN
"17.12.";353;NaN;2325;NaN
"18.12.";352;NaN;2258;NaN
"19.12.";440;NaN;2304;NaN
"20.12.";420;NaN;2357;NaN
"21.12.";411;NaN;2425;NaN
"22.12.";377;NaN;2414;NaN
"23.12.";345;NaN;2209;NaN
"24.12.";357;NaN;2266;NaN
"25.12.";323;NaN;2125;NaN
"26.12.";350;NaN;2187;NaN
"27.12.";373;NaN;2243;NaN
"28.12.";387;NaN;2317;NaN
"29.12.";357;NaN;2216;NaN
"30.12.";373;NaN;2080;NaN
"31.12.";376;NaN;2203;NaN
