GENESIS-Tabelle: 12521-0008
Ausländer: Deutschland, Stichtag, Geschlecht,;;;;
Aufenthaltstitel/Ausgewählte Aufenthaltstitel,;;;;
Ländergruppierungen/Staatsangehörigkeit;;;;
Ausländerstatistik;;;;
Deutschland;;;;
Ausländer (Anzahl);;;;
;;;männlich;weiblich
31.12.2018;Drittstaaten zu EU-25 (bis 31.12.2006);Aufenthaltsgestattung;203390;93700
31.12.2018;Drittstaaten zu EU-25 (bis 31.12.2006);Ohne Aufenthaltstitel, Duldung oder Gestattung;202735;144150
31.12.2018;EU-15 (bis 30.04.2004);Freizügigkeit nach EU-Recht;1117735;914330
31.12.2018;EU-15 (bis 30.04.2004);V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;5;-
31.12.2018;EU-15 (bis 30.04.2004);Unbefristeter Aufenthaltstitel;-;-
31.12.2018;EU-15 (bis 30.04.2004);Befristeter Aufenthaltstitel;10;15
31.12.2018;EU-15 (bis 30.04.2004);Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;-;-
31.12.2018;EU-15 (bis 30.04.2004);Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;-;-
31.12.2018;EU-15 (bis 30.04.2004);Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;5;10
31.12.2018;EU-15 (bis 30.04.2004);Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;5;5
31.12.2018;EU-15 (bis 30.04.2004);Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;-;-
31.12.2018;EU-15 (bis 30.04.2004);Antrag auf einen Aufenthaltstitel gestellt;5;-
31.12.2018;EU-15 (bis 30.04.2004);Duldung;20;5
31.12.2018;EU-15 (bis 30.04.2004);Aufenthaltsgestattung;5;5
31.12.2018;EU-15 (bis 30.04.2004);Ohne Aufenthaltstitel, Duldung oder Gestattung;360;90
31.12.2018;Drittstaaten zu EU-15 (bis 30.04.2004);Freizügigkeit nach EU-Recht;1551180;1314240
31.12.2018;Drittstaaten zu EU-15 (bis 30.04.2004);V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;5230;3870
31.12.2018;Drittstaaten zu EU-15 (bis 30.04.2004);Unbefristeter Aufenthaltstitel;1231040;1260765
31.12.2018;Drittstaaten zu EU-15 (bis 30.04.2004);Befristeter Aufenthaltstitel;1291805;1138065
31.12.2018;Drittstaaten zu EU-15 (bis 30.04.2004);Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;120975;99210
31.12.2018;Drittstaaten zu EU-15 (bis 30.04.2004);Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;150695;69710
31.12.2018;Drittstaaten zu EU-15 (bis 30.04.2004);Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;644270;408200
31.12.2018;Drittstaaten zu EU-15 (bis 30.04.2004);Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;299520;500980
31.12.2018;Drittstaaten zu EU-15 (bis 30.04.2004);Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;76345;59965
31.12.2018;Drittstaaten zu EU-15 (bis 30.04.2004);Antrag auf einen Aufenthaltstitel gestellt;145310;115475
31.12.2018;Drittstaaten zu EU-15 (bis 30.04.2004);Duldung;122605;58045
31.12.2018;Drittstaaten zu EU-15 (bis 30.04.2004);Aufenthaltsgestattung;203390;93700
